aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Contact Role ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Contract ID,18,,,ContractId,False,False,False,False,[],False,0,False,,['Contract'],Contract,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Contact ID,18,,,ContactId,False,False,False,False,[],False,0,False,,['Contact'],Contact,,False,False,0,False,tns:ID,True,reference,False,True,False
True,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Role,40,,,Role,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Business User'), ('validFor', None), ('value', 'Business User')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Decision Maker'), ('validFor', None), ('value', 'Decision Maker')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Economic Buyer'), ('validFor', None), ('value', 'Economic Buyer')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Economic Decision Maker'), ('validFor', None), ('value', 'Economic Decision Maker')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Evaluator'), ('validFor', None), ('value', 'Evaluator')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Executive Sponsor'), ('validFor', None), ('value', 'Executive Sponsor')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Influencer'), ('validFor', None), ('value', 'Influencer')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Technical Buyer'), ('validFor', None), ('value', 'Technical Buyer')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Other'), ('validFor', None), ('value', 'Other')])]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,True,False
False,False,0,False,,False,False,,,True,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Primary,0,,,IsPrimary,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,True,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
