aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,False,,False,False,False,True,,Change Event ID,18,,,Id,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,False,id,False,False,False
False,False,3000,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Replay ID,1000,,,ReplayId,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Change Event Header,0,,,ChangeEventHeader,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,ChangeEventHeader,False,complexvalue,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Owner ID,18,,,OwnerId,False,False,True,False,[],True,0,False,,"['Group', 'User']",,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,240,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,<Entity>,80,,,Name,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,False,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,False,datetime,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Created By ID,18,,,CreatedById,False,False,True,False,[],False,0,False,,['User'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,False,datetime,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,True,False,[],False,0,False,,['User'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,18,False,,False,False,,,False,True,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Endpoint,18,,,Endpoint__c,False,False,True,True,[],False,0,False,,['Endpoint__c'],,,False,False,0,False,tns:ID,False,reference,False,False,False
