aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Task Relation ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Relation ID,18,,,RelationId,False,True,False,False,[],True,0,False,,"['Account', 'Account_Technical_Feature__c', 'Asset', 'AssetRelationship', 'Associated_Project__c', 'Auth_Contact_Join__c', 'Auth__c', 'Blog__c', 'CIM_Field__c', 'CIM_Table__c', 'Campaign', 'Case', 'Client_Story__c', 'Contact', 'Contract', 'DFA__c', 'Decoder_Wheel__c', 'Dictionary__c', 'Endpoint_System_Attribute_Join__c', 'Endpoint__c', 'Engineering_Story__c', 'Environment__c', 'Error__c', 'FL_Field_Set_Field_Join__c', 'FL_Field_Set_Table_Join__c', 'FL_Field_Set__c', 'FL_Field__c', 'FL_Semantic_Bundle_Join__c', 'Field__c', 'Flag__c', 'Flow_Procedure_Join__c', 'Flow_URL_Join__c', 'Flow__c', 'G_Field__c', 'G_Instance__c', 'G_Pass__c', 'G_Version__c', 'Goods__c', 'Issue_Related_Technical_Feature__c', 'Issue__c', 'Job_Environment__c', 'Job_Plan_Step__c', 'Job_Plan__c', 'Job_Set_Step__c', 'Job_Set__c', 'Job_Task__c', 'Layer__c', 'Lead', 'ListEmail', 'Location', 'MFI_Field__c', 'MFI_Table_Procedure_Join__c', 'MFI_Table__c', 'Match_2_Operation__c', 'Opportunity', 'Opportunity_System_Join__c', 'Order', 'Order2__c', 'Pass_Mapping__c', 'Pass__c', 'Procedure_Note__c', 'Procedure_URL_Join__c', 'Procedure__c', 'Product2', 'Project_Code__c', 'Project__c', 'Quote', 'Related_Account_Issue__c', 'Related_Case_Issue__c', 'Related_Solution__c', 'Related_System_Attribute__c', 'Semantic_Bundle__c', 'Semantic_Domain__c', 'Solution', 'Story_Requirement__c', 'System_Attribute__c', 'System__c', 'Technical_Feature__c', 'URL__c', 'Variable__c', 'Vendor_Product_Blog_Join__c', 'dlrs__DeclarativeLookupRollupSummaries__c', 'dlrs__LookupChildAReallyReallyReallyBigBigName__c', 'dlrs__LookupChild__c', 'dlrs__LookupParent__c', 'dlrs__LookupRollupCalculateJob__c', 'dlrs__LookupRollupSummaryLog__c', 'dlrs__LookupRollupSummaryScheduleItems__c', 'dlrs__LookupRollupSummary__c', 'mMFI_Class__c', 'mMFI_Family__c', 'mMFI_Field__c', 'x_todel_CIM_Field__c', 'x_todel_CIM_Table__c']",Relation,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Task ID,18,,,TaskId,False,False,False,False,[],False,0,False,,['Task'],Task,,False,False,0,False,tns:ID,True,reference,False,False,False
False,False,0,False,,False,False,,,True,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Is What,0,,,IsWhat,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Account ID,18,,,AccountId,False,False,True,False,[],False,0,False,,['Account'],Account,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
